delivery_month,sample_count,mean,std_dev,min_value,pct_01,pct_05,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,max_value,start_date,end_date
ALL,483,2.780952,2.661663,-1.7,-1.1,-0.69,-0.4,0.5,2.5,4.5,6.6,7.99,9.236,9.8,2022-11-26,2024-11-25
2301,16,-0.66875,0.512144,-1.7,-1.625,-1.325,-1.15,-0.925,-0.75,-0.475,0.0,0.175,0.355,0.4,2022-11-26,2022-12-19
2302,16,0.38125,0.984018,-1.7,-1.58,-1.1,-0.75,-0.125,0.5,0.7,1.15,1.575,2.475,2.7,2022-12-20,2023-01-11
2303,27,0.533333,0.866913,-1.1,-1.048,-0.84,-0.58,0.0,0.5,1.0,1.44,1.64,2.514,2.8,2023-01-12,2023-02-25
2304,20,0.255,0.817876,-0.8,-0.781,-0.705,-0.7,-0.425,0.1,0.9,1.42,1.605,1.681,1.7,2023-02-27,2023-03-25
2305,21,1.614286,1.125738,-0.2,-0.16,0.0,0.0,0.8,2.1,2.5,3.0,3.1,3.18,3.2,2023-03-27,2023-04-25
2306,19,-0.368421,0.305601,-0.9,-0.882,-0.81,-0.8,-0.5,-0.4,-0.15,0.0,0.03,0.246,0.3,2023-04-26,2023-05-25
2307,19,0.8,0.898146,-0.4,-0.328,-0.04,0.08,0.4,0.8,0.95,1.26,1.75,3.55,4,2023-05-26,2023-06-25
2308,22,3.459091,0.377535,2.6,2.621,2.715,3.01,3.225,3.5,3.8,3.8,3.895,3.979,4,2023-06-26,2023-07-25
2309,23,5.43913,1.85466,3.1,3.122,3.22,3.4,3.55,4.9,7.1,7.8,8.07,8.256,8.3,2023-07-26,2023-08-25
2310,21,7.785714,1.214613,5.6,5.6,5.6,6.0,7.2,8.0,8.6,9.1,9.2,9.36,9.4,2023-08-28,2023-09-25
2311,16,8.5625,0.808187,7.2,7.26,7.5,7.7,7.875,8.5,9.2,9.55,9.65,9.77,9.8,2023-09-26,2023-10-25
2312,22,2.459091,2.288201,-0.3,-0.3,-0.295,-0.19,0.3,1.95,4.8,5.47,5.595,5.916,6,2023-10-26,2023-11-25
2401,21,-0.290476,0.426503,-1.1,-1.08,-1.0,-0.9,-0.5,-0.3,0.1,0.1,0.2,0.52,0.6,2023-11-27,2023-12-25
2402,22,0.577273,0.947142,-0.9,-0.795,-0.395,-0.29,-0.1,0.35,1.125,2.09,2.195,2.358,2.4,2023-12-26,2024-01-25
2403,15,2.946667,1.549132,1.4,1.4,1.4,1.44,1.7,2.3,4.85,5.06,5.1,5.1,5.1,2024-01-26,2024-02-25
