delivery_month,sample_count,mean,std_dev,min_value,pct_01,pct_05,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,max_value,start_date,end_date
ALL,483,2.747412,3.111978,-17.7,-3.2,-1.4,-0.7,0.5,2.7,4.3,7.08,8.79,10.4,11.8,2022-11-26,2024-11-25
2301,16,-2.5375,0.78305,-3.4,-3.385,-3.325,-3.25,-3.2,-2.8,-1.875,-1.5,-1.225,-1.045,-1.0,2022-11-26,2022-12-19
2302,16,-0.375,1.251399,-2.1,-2.085,-2.025,-2.0,-1.425,-0.1,0.35,0.95,1.6,2.08,2.2,2022-12-20,2023-01-11
2303,27,1.111111,1.461383,-1.4,-1.322,-1.04,-0.72,0.0,1.3,1.85,2.66,3.6,4.418,4.6,2023-01-12,2023-02-25
2304,20,0.06,1.073803,-1.5,-1.462,-1.31,-1.21,-0.725,0.1,0.8,1.7,1.72,2.024,2.1,2023-02-27,2023-03-25
2305,21,1.366667,1.203052,-0.7,-0.7,-0.7,-0.7,1.5,1.7,2.1,2.5,2.5,2.74,2.8,2023-03-27,2023-04-25
2306,19,-0.5,0.588784,-1.4,-1.382,-1.31,-1.14,-0.95,-0.6,-0.05,0.16,0.44,0.728,0.8,2023-04-26,2023-05-25
2307,19,0.673684,0.977435,-0.3,-0.264,-0.12,-0.1,0.25,0.5,0.9,1.1,1.42,3.724,4.3,2023-05-26,2023-06-25
2308,22,3.686364,0.490185,2.9,2.9,2.905,3.02,3.4,3.65,4.0,4.29,4.49,4.5,4.5,2023-06-26,2023-07-25
2309,23,6.373913,2.699363,3.3,3.322,3.4,3.42,3.9,5.7,8.55,10.28,10.5,11.514,11.8,2023-07-26,2023-08-25
2310,21,8.609524,1.094031,7.0,7.04,7.2,7.4,7.7,8.3,9.5,10.2,10.4,10.4,10.4,2023-08-28,2023-09-25
2311,16,8.925,1.078579,6.9,6.96,7.2,7.4,8.475,9.0,9.625,10.0,10.45,10.81,10.9,2023-09-26,2023-10-25
2312,22,2.868182,2.641858,-0.6,-0.474,0.015,0.3,0.55,1.85,5.675,6.28,6.775,7.116,7.2,2023-10-26,2023-11-25
2401,21,-0.438095,0.723517,-1.7,-1.66,-1.5,-1.4,-0.9,-0.5,-0.1,0.6,0.7,0.78,0.8,2023-11-27,2023-12-25
2402,22,0.318182,0.843821,-0.8,-0.8,-0.795,-0.69,-0.3,0.1,0.8,1.56,1.695,1.937,2.0,2023-12-26,2024-01-25
2403,15,2.566667,1.495549,0.8,0.828,0.94,1.12,1.4,2.1,4.0,4.26,4.72,5.504,5.7,2024-01-26,2024-02-25
2404,21,5.52381,0.562054,4.6,4.6,4.6,5.1,5.1,5.4,6.0,6.1,6.4,6.56,6.6,2024-02-26,2024-03-25
2405,21,5.87619,1.007425,4.2,4.26,4.5,4.8,5.1,5.9,6.6,7.2,7.4,7.8,7.9,2024-03-26,2024-04-25
2406,18,4.0,1.242862,1.5,1.568,1.84,2.04,3.625,4.2,4.625,5.7,5.73,5.866,5.9,2024-04-26,2024-05-25
2407,21,2.7,0.650385,1.7,1.72,1.8,2.0,2.4,2.6,3.0,3.5,4.0,4.08,4.1,2024-05-27,2024-06-25
2408,22,3.940909,0.667375,2.6,2.642,2.8,2.82,3.55,4.25,4.4,4.5,4.595,4.679,4.7,2024-06-26,2024-07-25
2409,21,3.080952,0.388097,2.3,2.36,2.6,2.7,2.7,3.1,3.4,3.6,3.6,3.76,3.8,2024-07-26,2024-08-25
2410,21,3.114286,0.747185,1.9,1.94,2.1,2.5,2.7,3.0,3.5,3.9,3.9,5.02,5.3,2024-08-26,2024-09-25
2411,17,1.823529,5.044493,-17.7,-14.516,-1.78,2.38,2.9,3.0,3.2,3.44,3.56,3.752,3.8,2024-09-26,2024-10-25
2412,21,2.085714,0.623928,1.3,1.32,1.4,1.4,1.7,1.8,2.6,2.8,2.8,3.52,3.7,2024-10-28,2024-11-25
