trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,-2.9,"sc1902,sc1903",501.9,sc1809
2018-07-27,-0.8,"sc1902,sc1903",506.1,sc1809
2018-07-30,-0.2,"sc1902,sc1903",507.1,sc1809
2018-07-31,-0.4,"sc1902,sc1903",513.9,sc1809
2018-08-01,0.6,"sc1902,sc1903",506.0,sc1809
2018-08-02,1.6,"sc1902,sc1903",501.6,sc1809
2018-08-03,1.7,"sc1902,sc1903",508.8,sc1809
2018-08-06,2.5,"sc1902,sc1903",512.3,sc1809
2018-08-07,-1.6,"sc1902,sc1903",534.1,sc1809
2018-08-08,2.3,"sc1902,sc1903",527.2,sc1809
2018-08-09,3.4,"sc1902,sc1903",518.9,sc1809
2018-08-10,2.3,"sc1902,sc1903",520.0,sc1809
2018-08-13,2.4,"sc1902,sc1903",522.5,sc1809
2018-08-14,0.9,"sc1902,sc1903",519.3,sc1809
2018-08-15,0.9,"sc1902,sc1903",519.4,sc1809
2018-08-16,1.3,"sc1902,sc1903",508.0,sc1809
2018-08-17,0.1,"sc1902,sc1903",505.2,sc1809
2018-08-20,0.5,"sc1902,sc1903",493.2,sc1809
2018-08-21,0.7,"sc1902,sc1903",480.5,sc1809
2018-08-22,1.4,"sc1902,sc1903",479.8,sc1809
2018-08-23,1.2,"sc1902,sc1903",485.0,sc1809
2018-08-24,1.0,"sc1902,sc1903",482.1,sc1809
2018-08-27,-2.3,"sc1902,sc1903",482.2,sc1809
2018-08-28,-3.3,"sc1902,sc1903",486.6,sc1809
2018-08-29,-4.0,"sc1902,sc1903",485.7,sc1809
2018-08-30,-3.5,"sc1902,sc1903",488.6,sc1809
2018-08-31,-4.3,"sc1902,sc1903",488.3,sc1809
2018-09-03,5.7,"sc1903,sc1904",503.0,sc1810
2018-09-04,3.7,"sc1903,sc1904",504.6,sc1810
2018-09-05,3.5,"sc1903,sc1904",505.4,sc1810
2018-09-06,3.5,"sc1903,sc1904",501.1,sc1810
2018-09-07,2.5,"sc1903,sc1904",496.7,sc1810
2018-09-10,3.1,"sc1903,sc1904",498.5,sc1810
2018-09-11,2.7,"sc1903,sc1904",500.6,sc1810
2018-09-12,3.8,"sc1903,sc1904",503.6,sc1810
2018-09-13,2.3,"sc1903,sc1904",515.3,sc1810
2018-09-14,1.8,"sc1903,sc1904",501.3,sc1810
2018-09-17,2.4,"sc1903,sc1904",510.3,sc1810
2018-09-18,1.8,"sc1903,sc1904",507.7,sc1810
2018-09-19,2.6,"sc1903,sc1904",528.5,sc1810
2018-09-20,3.0,"sc1903,sc1904",532.4,sc1810
2018-09-21,-0.7,"sc1904,sc1905",521.7,sc1811
2018-09-25,-0.4,"sc1904,sc1905",540.6,sc1811
2018-09-26,-0.6,"sc1904,sc1905",542.6,sc1811
2018-09-27,-0.7,"sc1904,sc1905",545.3,sc1811
2018-09-28,0.4,"sc1904,sc1905",548.3,sc1811
2018-10-08,0.1,"sc1904,sc1905",561.2,sc1811
2018-10-10,0.1,"sc1904,sc1905",583.0,sc1811
2018-10-11,-1.7,"sc1904,sc1905",579.7,sc1811
2018-10-12,-0.8,"sc1904,sc1905",562.6,sc1811
2018-10-15,-2.6,"sc1904,sc1905",563.6,sc1811
2018-10-16,-1.6,"sc1904,sc1905",555.3,sc1811
2018-10-17,-1.9,"sc1904,sc1905",543.4,sc1811
2018-10-18,-1.6,"sc1904,sc1905",559.3,sc1811
2018-10-19,-1.3,"sc1904,sc1905",551.4,sc1811
2018-10-22,-2.1,"sc1904,sc1905",549.7,sc1811
2018-10-23,-1.8,"sc1904,sc1905",552.7,sc1811
2018-10-24,-1.9,"sc1904,sc1905",572.0,sc1811
2018-10-25,-0.3,"sc1904,sc1905",554.4,sc1811
2018-10-26,-3.3,"sc1904,sc1905",577.5,sc1811
2018-10-29,0.0,"sc1904,sc1905",576.7,sc1811
2018-10-30,-0.1,"sc1904,sc1905",576.7,sc1811
2018-10-31,1.2,"sc1904,sc1905",573.3,sc1811
2018-11-01,-2.6,"sc1905,sc1906",527.8,sc1812
2018-11-02,-4.9,"sc1905,sc1906",513.7,sc1812
2018-11-05,-6.2,"sc1905,sc1906",507.8,sc1812
2018-11-06,-5.6,"sc1905,sc1906",512.2,sc1812
2018-11-07,-5.8,"sc1905,sc1906",504.4,sc1812
2018-11-08,-6.3,"sc1905,sc1906",502.7,sc1812
2018-11-09,-5.2,"sc1905,sc1906",497.8,sc1812
2018-11-12,-5.0,"sc1905,sc1906",492.9,sc1812
2018-11-13,-3.1,"sc1905,sc1906",491.9,sc1812
2018-11-14,-4.4,"sc1905,sc1906",473.8,sc1812
2018-11-15,-3.6,"sc1905,sc1906",461.7,sc1812
2018-11-16,-5.0,"sc1905,sc1906",465.0,sc1812
2018-11-19,-7.1,"sc1905,sc1906",466.7,sc1812
2018-11-20,-5.3,"sc1905,sc1906",459.7,sc1812
2018-11-21,-3.9,"sc1905,sc1906",441.8,sc1812
2018-11-22,-4.4,"sc1905,sc1906",438.6,sc1812
2018-11-23,-2.1,"sc1905,sc1906",432.0,sc1812
2018-11-26,2.4,"sc1905,sc1906",411.4,sc1812
2018-11-27,-2.0,"sc1905,sc1906",409.1,sc1812
2018-11-28,-2.0,"sc1905,sc1906",413.0,sc1812
2018-11-29,-1.3,"sc1905,sc1906",407.2,sc1812
2018-11-30,-1.7,"sc1905,sc1906",396.7,sc1812
2018-12-03,0.8,"sc1906,sc1907",419.4,sc1901
2018-12-04,0.1,"sc1906,sc1907",428.6,sc1901
2018-12-05,-2.2,"sc1906,sc1907",428.3,sc1901
2018-12-06,-0.5,"sc1906,sc1907",428.0,sc1901
2018-12-07,0.0,"sc1906,sc1907",413.3,sc1901
2018-12-10,0.8,"sc1906,sc1907",431.1,sc1901
2018-12-11,1.3,"sc1906,sc1907",421.8,sc1901
2018-12-12,1.2,"sc1906,sc1907",423.7,sc1901
2018-12-13,0.4,"sc1906,sc1907",424.6,sc1901
2018-12-14,-0.4,"sc1906,sc1907",422.5,sc1901
2018-12-17,-0.8,"sc1906,sc1907",419.0,sc1901
2018-12-18,-0.4,"sc1906,sc1907",411.6,sc1901
2018-12-19,0.4,"sc1906,sc1907",395.1,sc1901
2018-12-20,-2.1,"sc1906,sc1907",398.1,sc1901
2018-12-21,-3.1,"sc1906,sc1907",400.9,sc1901
2018-12-24,-2.2,"sc1906,sc1907",394.5,sc1901
2018-12-25,-6.5,"sc1906,sc1907",385.0,sc1901
2018-12-26,-3.1,"sc1906,sc1907",374.7,sc1901
2018-12-27,-2.3,"sc1906,sc1907",381.0,sc1901
2018-12-28,-2.9,"sc1906,sc1907",377.0,sc1901
2019-01-02,-2.3,"sc1907,sc1908",370.7,sc1902
2019-01-03,-3.5,"sc1907,sc1908",379.8,sc1902
2019-01-04,-3.7,"sc1907,sc1908",388.7,sc1902
2019-01-07,-2.1,"sc1907,sc1908",401.4,sc1902
2019-01-08,-3.0,"sc1907,sc1908",405.1,sc1902
2019-01-09,-3.4,"sc1907,sc1908",412.2,sc1902
2019-01-10,-0.3,"sc1907,sc1908",423.6,sc1902
2019-01-11,-3.5,"sc1907,sc1908",424.5,sc1902
2019-01-14,-3.6,"sc1907,sc1908",416.3,sc1902
