trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,2.1,"sc1904,sc1905",501.9,sc1809
2018-07-27,2.5,"sc1904,sc1905",506.1,sc1809
2018-07-30,1.5,"sc1904,sc1905",507.1,sc1809
2018-07-31,1.1,"sc1904,sc1905",513.9,sc1809
2018-08-01,1.9,"sc1904,sc1905",506.0,sc1809
2018-08-02,1.9,"sc1904,sc1905",501.6,sc1809
2018-08-03,1.0,"sc1904,sc1905",508.8,sc1809
2018-08-06,1.6,"sc1904,sc1905",512.3,sc1809
2018-08-07,-3.6,"sc1904,sc1905",534.1,sc1809
2018-08-08,0.2,"sc1904,sc1905",527.2,sc1809
2018-08-09,0.3,"sc1904,sc1905",518.9,sc1809
2018-08-10,-0.2,"sc1904,sc1905",520.0,sc1809
2018-08-13,-0.2,"sc1904,sc1905",522.5,sc1809
2018-08-14,-0.2,"sc1904,sc1905",519.3,sc1809
2018-08-15,0.3,"sc1904,sc1905",519.4,sc1809
2018-08-16,1.2,"sc1904,sc1905",508.0,sc1809
2018-08-17,0.3,"sc1904,sc1905",505.2,sc1809
2018-08-20,0.9,"sc1904,sc1905",493.2,sc1809
2018-08-21,-0.3,"sc1904,sc1905",480.5,sc1809
2018-08-22,-0.3,"sc1904,sc1905",479.8,sc1809
2018-08-23,-0.5,"sc1904,sc1905",485.0,sc1809
2018-08-24,-0.2,"sc1904,sc1905",482.1,sc1809
2018-08-27,-0.7,"sc1904,sc1905",482.2,sc1809
2018-08-28,-0.7,"sc1904,sc1905",486.6,sc1809
2018-08-29,-0.2,"sc1904,sc1905",485.7,sc1809
2018-08-30,-1.9,"sc1904,sc1905",488.6,sc1809
2018-08-31,-1.9,"sc1904,sc1905",488.3,sc1809
2018-09-03,-3.6,"sc1905,sc1906",503.0,sc1810
2018-09-04,-1.7,"sc1905,sc1906",504.6,sc1810
2018-09-05,-2.4,"sc1905,sc1906",505.4,sc1810
2018-09-06,-2.0,"sc1905,sc1906",501.1,sc1810
2018-09-07,0.1,"sc1905,sc1906",496.7,sc1810
2018-09-10,-2.0,"sc1905,sc1906",498.5,sc1810
2018-09-11,0.7,"sc1905,sc1906",500.6,sc1810
2018-09-12,1.0,"sc1905,sc1906",503.6,sc1810
2018-09-13,2.2,"sc1905,sc1906",515.3,sc1810
2018-09-14,2.9,"sc1905,sc1906",501.3,sc1810
2018-09-17,0.7,"sc1905,sc1906",510.3,sc1810
2018-09-18,1.8,"sc1905,sc1906",507.7,sc1810
2018-09-19,-0.1,"sc1905,sc1906",528.5,sc1810
2018-09-20,-0.1,"sc1905,sc1906",532.4,sc1810
2018-09-21,0.1,"sc1906,sc1907",521.7,sc1811
2018-09-25,-0.2,"sc1906,sc1907",540.6,sc1811
2018-09-26,-0.6,"sc1906,sc1907",542.6,sc1811
2018-09-27,-0.5,"sc1906,sc1907",545.3,sc1811
2018-09-28,-0.1,"sc1906,sc1907",548.3,sc1811
2018-10-08,-1.2,"sc1906,sc1907",561.2,sc1811
2018-10-10,-4.3,"sc1906,sc1907",583.0,sc1811
2018-10-11,-4.0,"sc1906,sc1907",579.7,sc1811
2018-10-12,-4.8,"sc1906,sc1907",562.6,sc1811
2018-10-15,-5.3,"sc1906,sc1907",563.6,sc1811
2018-10-16,-4.7,"sc1906,sc1907",555.3,sc1811
2018-10-17,-0.2,"sc1906,sc1907",543.4,sc1811
2018-10-18,1.2,"sc1906,sc1907",559.3,sc1811
2018-10-19,0.9,"sc1906,sc1907",551.4,sc1811
2018-10-22,1.5,"sc1906,sc1907",549.7,sc1811
2018-10-23,1.3,"sc1906,sc1907",552.7,sc1811
2018-10-24,2.5,"sc1906,sc1907",572.0,sc1811
2018-10-25,1.8,"sc1906,sc1907",554.4,sc1811
2018-10-26,-0.2,"sc1906,sc1907",577.5,sc1811
2018-10-29,0.8,"sc1906,sc1907",576.7,sc1811
2018-10-30,3.9,"sc1906,sc1907",576.7,sc1811
2018-10-31,4.2,"sc1906,sc1907",573.3,sc1811
2018-11-01,-3.4,"sc1907,sc1908",527.8,sc1812
2018-11-02,-4.9,"sc1907,sc1908",513.7,sc1812
2018-11-05,-3.6,"sc1907,sc1908",507.8,sc1812
2018-11-06,-2.2,"sc1907,sc1908",512.2,sc1812
2018-11-07,-2.9,"sc1907,sc1908",504.4,sc1812
2018-11-08,-1.8,"sc1907,sc1908",502.7,sc1812
2018-11-09,-0.7,"sc1907,sc1908",497.8,sc1812
2018-11-12,-0.6,"sc1907,sc1908",492.9,sc1812
2018-11-13,-2.8,"sc1907,sc1908",491.9,sc1812
2018-11-14,-9.3,"sc1907,sc1908",473.8,sc1812
2018-11-15,-5.1,"sc1907,sc1908",461.7,sc1812
2018-11-16,-4.8,"sc1907,sc1908",465.0,sc1812
2018-11-19,-5.0,"sc1907,sc1908",466.7,sc1812
2018-11-20,-2.1,"sc1907,sc1908",459.7,sc1812
2018-11-21,-5.1,"sc1907,sc1908",441.8,sc1812
2018-11-22,-2.3,"sc1907,sc1908",438.6,sc1812
2018-11-23,-2.6,"sc1907,sc1908",432.0,sc1812
2018-11-26,-15.0,"sc1907,sc1908",411.4,sc1812
2018-11-27,-1.3,"sc1907,sc1908",409.1,sc1812
2018-11-28,-1.7,"sc1907,sc1908",413.0,sc1812
2018-11-29,-0.9,"sc1907,sc1908",407.2,sc1812
2018-11-30,-1.5,"sc1907,sc1908",396.7,sc1812
2018-12-03,-4.8,"sc1908,sc1909",419.4,sc1901
2018-12-04,-3.2,"sc1908,sc1909",428.6,sc1901
2018-12-05,-1.4,"sc1908,sc1909",428.3,sc1901
2018-12-06,-2.7,"sc1908,sc1909",428.0,sc1901
2018-12-07,-3.0,"sc1908,sc1909",413.3,sc1901
2018-12-10,-3.2,"sc1908,sc1909",431.1,sc1901
2018-12-11,-4.6,"sc1908,sc1909",421.8,sc1901
2018-12-12,-5.2,"sc1908,sc1909",423.7,sc1901
2018-12-13,-3.2,"sc1908,sc1909",424.6,sc1901
2018-12-14,-2.6,"sc1908,sc1909",422.5,sc1901
2018-12-17,-3.4,"sc1908,sc1909",419.0,sc1901
2018-12-18,-3.7,"sc1908,sc1909",411.6,sc1901
2018-12-19,-3.5,"sc1908,sc1909",395.1,sc1901
2018-12-20,-1.2,"sc1908,sc1909",398.1,sc1901
2018-12-21,-1.5,"sc1908,sc1909",400.9,sc1901
2018-12-24,-1.8,"sc1908,sc1909",394.5,sc1901
2018-12-25,-2.5,"sc1908,sc1909",385.0,sc1901
2018-12-26,-2.1,"sc1908,sc1909",374.7,sc1901
2018-12-27,-2.0,"sc1908,sc1909",381.0,sc1901
2018-12-28,-2.1,"sc1908,sc1909",377.0,sc1901
2019-01-02,0.6,"sc1909,sc1910",370.7,sc1902
2019-01-03,-0.1,"sc1909,sc1910",379.8,sc1902
2019-01-04,1.5,"sc1909,sc1910",388.7,sc1902
2019-01-07,-2.1,"sc1909,sc1910",401.4,sc1902
2019-01-08,-4.3,"sc1909,sc1910",405.1,sc1902
2019-01-09,-5.3,"sc1909,sc1910",412.2,sc1902
2019-01-10,-5.7,"sc1909,sc1910",423.6,sc1902
2019-01-11,-4.6,"sc1909,sc1910",424.5,sc1902
2019-01-14,-4.7,"sc1909,sc1910",416.3,sc1902
2019-01-15,-4.1,"sc1909,sc1910",412.4,sc1902
2019-01-16,-4.0,"sc1909,sc1910",410.5,sc1902
2019-01-17,-5.8,"sc1909,sc1910",411.8,sc1902
