trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,1.3,"sc1812,sc1901",501.9,sc1809
2018-07-27,3.0,"sc1812,sc1901",506.1,sc1809
2018-07-30,2.4,"sc1812,sc1901",507.1,sc1809
2018-07-31,1.8,"sc1812,sc1901",513.9,sc1809
2018-08-01,0.6,"sc1812,sc1901",506.0,sc1809
2018-08-02,0.9,"sc1812,sc1901",501.6,sc1809
2018-08-03,0.6,"sc1812,sc1901",508.8,sc1809
2018-08-06,1.4,"sc1812,sc1901",512.3,sc1809
2018-08-07,0.3,"sc1812,sc1901",534.1,sc1809
2018-08-08,1.8,"sc1812,sc1901",527.2,sc1809
2018-08-09,0.3,"sc1812,sc1901",518.9,sc1809
2018-08-10,0.7,"sc1812,sc1901",520.0,sc1809
2018-08-13,1.0,"sc1812,sc1901",522.5,sc1809
2018-08-14,1.1,"sc1812,sc1901",519.3,sc1809
2018-08-15,0.9,"sc1812,sc1901",519.4,sc1809
2018-08-16,0.7,"sc1812,sc1901",508.0,sc1809
2018-08-17,0.7,"sc1812,sc1901",505.2,sc1809
2018-08-20,0.7,"sc1812,sc1901",493.2,sc1809
2018-08-21,1.1,"sc1812,sc1901",480.5,sc1809
2018-08-22,0.7,"sc1812,sc1901",479.8,sc1809
2018-08-23,0.9,"sc1812,sc1901",485.0,sc1809
2018-08-24,1.1,"sc1812,sc1901",482.1,sc1809
2018-08-27,1.3,"sc1812,sc1901",482.2,sc1809
2018-08-28,1.7,"sc1812,sc1901",486.6,sc1809
2018-08-29,1.7,"sc1812,sc1901",485.7,sc1809
2018-08-30,1.5,"sc1812,sc1901",488.6,sc1809
2018-08-31,0.3,"sc1812,sc1901",488.3,sc1809
2018-09-03,2.3,"sc1901,sc1902",503.0,sc1810
2018-09-04,2.3,"sc1901,sc1902",504.6,sc1810
2018-09-05,2.2,"sc1901,sc1902",505.4,sc1810
2018-09-06,2.6,"sc1901,sc1902",501.1,sc1810
2018-09-07,1.6,"sc1901,sc1902",496.7,sc1810
2018-09-10,2.9,"sc1901,sc1902",498.5,sc1810
2018-09-11,2.9,"sc1901,sc1902",500.6,sc1810
2018-09-12,3.9,"sc1901,sc1902",503.6,sc1810
2018-09-13,0.6,"sc1901,sc1902",515.3,sc1810
2018-09-14,0.2,"sc1901,sc1902",501.3,sc1810
2018-09-17,0.3,"sc1901,sc1902",510.3,sc1810
2018-09-18,0.1,"sc1901,sc1902",507.7,sc1810
2018-09-19,-0.7,"sc1901,sc1902",528.5,sc1810
2018-09-20,1.0,"sc1901,sc1902",532.4,sc1810
2018-09-21,1.5,"sc1902,sc1903",521.7,sc1811
2018-09-25,-1.8,"sc1902,sc1903",540.6,sc1811
2018-09-26,0.3,"sc1902,sc1903",542.6,sc1811
2018-09-27,-1.0,"sc1902,sc1903",545.3,sc1811
2018-09-28,2.6,"sc1902,sc1903",548.3,sc1811
2018-10-08,-0.3,"sc1902,sc1903",561.2,sc1811
2018-10-10,0.3,"sc1902,sc1903",583.0,sc1811
2018-10-11,3.5,"sc1902,sc1903",579.7,sc1811
2018-10-12,4.6,"sc1902,sc1903",562.6,sc1811
2018-10-15,3.5,"sc1902,sc1903",563.6,sc1811
2018-10-16,5.0,"sc1902,sc1903",555.3,sc1811
2018-10-17,-3.2,"sc1902,sc1903",543.4,sc1811
2018-10-18,-3.4,"sc1902,sc1903",559.3,sc1811
2018-10-19,-3.7,"sc1902,sc1903",551.4,sc1811
2018-10-22,-3.4,"sc1902,sc1903",549.7,sc1811
2018-10-23,-2.9,"sc1902,sc1903",552.7,sc1811
2018-10-24,0.1,"sc1902,sc1903",572.0,sc1811
2018-10-25,1.1,"sc1902,sc1903",554.4,sc1811
2018-10-26,0.6,"sc1902,sc1903",577.5,sc1811
2018-10-29,-0.4,"sc1902,sc1903",576.7,sc1811
2018-10-30,-0.1,"sc1902,sc1903",576.7,sc1811
2018-10-31,-1.2,"sc1902,sc1903",573.3,sc1811
2018-11-01,3.6,"sc1903,sc1904",527.8,sc1812
2018-11-02,-1.8,"sc1903,sc1904",513.7,sc1812
2018-11-05,1.7,"sc1903,sc1904",507.8,sc1812
2018-11-06,3.9,"sc1903,sc1904",512.2,sc1812
2018-11-07,0.5,"sc1903,sc1904",504.4,sc1812
2018-11-08,3.0,"sc1903,sc1904",502.7,sc1812
2018-11-09,1.6,"sc1903,sc1904",497.8,sc1812
2018-11-12,3.2,"sc1903,sc1904",492.9,sc1812
2018-11-13,2.4,"sc1903,sc1904",491.9,sc1812
2018-11-14,-4.7,"sc1903,sc1904",473.8,sc1812
2018-11-15,1.7,"sc1903,sc1904",461.7,sc1812
2018-11-16,2.4,"sc1903,sc1904",465.0,sc1812
2018-11-19,3.6,"sc1903,sc1904",466.7,sc1812
2018-11-20,1.8,"sc1903,sc1904",459.7,sc1812
2018-11-21,-2.1,"sc1903,sc1904",441.8,sc1812
2018-11-22,-2.2,"sc1903,sc1904",438.6,sc1812
2018-11-23,-2.0,"sc1903,sc1904",432.0,sc1812
2018-11-26,-5.6,"sc1903,sc1904",411.4,sc1812
2018-11-27,-2.6,"sc1903,sc1904",409.1,sc1812
2018-11-28,-1.2,"sc1903,sc1904",413.0,sc1812
2018-11-29,-1.5,"sc1903,sc1904",407.2,sc1812
2018-11-30,-1.9,"sc1903,sc1904",396.7,sc1812
2018-12-03,-1.9,"sc1904,sc1905",419.4,sc1901
2018-12-04,-1.6,"sc1904,sc1905",428.6,sc1901
2018-12-05,-2.0,"sc1904,sc1905",428.3,sc1901
2018-12-06,-2.3,"sc1904,sc1905",428.0,sc1901
2018-12-07,-2.5,"sc1904,sc1905",413.3,sc1901
2018-12-10,-2.4,"sc1904,sc1905",431.1,sc1901
2018-12-11,-2.8,"sc1904,sc1905",421.8,sc1901
2018-12-12,-2.1,"sc1904,sc1905",423.7,sc1901
2018-12-13,-2.0,"sc1904,sc1905",424.6,sc1901
2018-12-14,-2.3,"sc1904,sc1905",422.5,sc1901
2018-12-17,-2.2,"sc1904,sc1905",419.0,sc1901
2018-12-18,-2.3,"sc1904,sc1905",411.6,sc1901
2018-12-19,-2.4,"sc1904,sc1905",395.1,sc1901
2018-12-20,-2.0,"sc1904,sc1905",398.1,sc1901
2018-12-21,-1.7,"sc1904,sc1905",400.9,sc1901
2018-12-24,-1.2,"sc1904,sc1905",394.5,sc1901
2018-12-25,-0.8,"sc1904,sc1905",385.0,sc1901
2018-12-26,-1.3,"sc1904,sc1905",374.7,sc1901
2018-12-27,-1.6,"sc1904,sc1905",381.0,sc1901
2018-12-28,-2.1,"sc1904,sc1905",377.0,sc1901
2019-01-02,-2.0,"sc1905,sc1906",370.7,sc1902
2019-01-03,-2.9,"sc1905,sc1906",379.8,sc1902
2019-01-04,-2.9,"sc1905,sc1906",388.7,sc1902
2019-01-07,-2.3,"sc1905,sc1906",401.4,sc1902
2019-01-08,-1.8,"sc1905,sc1906",405.1,sc1902
2019-01-09,-1.1,"sc1905,sc1906",412.2,sc1902
2019-01-10,-0.9,"sc1905,sc1906",423.6,sc1902
2019-01-11,-0.7,"sc1905,sc1906",424.5,sc1902
2019-01-14,-1.2,"sc1905,sc1906",416.3,sc1902
2019-01-15,-1.6,"sc1905,sc1906",412.4,sc1902
2019-01-16,-1.3,"sc1905,sc1906",410.5,sc1902
2019-01-17,-0.9,"sc1905,sc1906",411.8,sc1902
2019-01-18,-0.6,"sc1905,sc1906",410.5,sc1902
2019-01-21,-0.3,"sc1905,sc1906",414.6,sc1902
2019-01-22,0.1,"sc1905,sc1906",417.2,sc1902
2019-01-23,-0.4,"sc1905,sc1906",427.6,sc1902
2019-01-24,-0.7,"sc1905,sc1906",423.6,sc1902
2019-01-25,-0.6,"sc1905,sc1906",422.6,sc1902
2019-01-28,-1.5,"sc1906,sc1907",427.8,sc1903
2019-01-29,-1.1,"sc1906,sc1907",417.9,sc1903
2019-01-30,-1.3,"sc1906,sc1907",425.2,sc1903
2019-01-31,-1.5,"sc1906,sc1907",431.4,sc1903
2019-02-01,-0.8,"sc1906,sc1907",429.8,sc1903
2019-02-11,-1.1,"sc1906,sc1907",428.2,sc1903
2019-02-12,-1.2,"sc1906,sc1907",428.7,sc1903
2019-02-13,-1.1,"sc1906,sc1907",433.3,sc1903
2019-02-14,-0.7,"sc1906,sc1907",435.9,sc1903
2019-02-15,-0.3,"sc1906,sc1907",441.7,sc1903
2019-02-18,-0.6,"sc1906,sc1907",450.6,sc1903
2019-02-20,-0.9,"sc1906,sc1907",451.2,sc1903
2019-02-21,-0.7,"sc1906,sc1907",449.6,sc1903
2019-02-22,-1.1,"sc1906,sc1907",446.4,sc1903
2019-02-25,-1.3,"sc1906,sc1907",446.3,sc1903
2019-02-26,-1.9,"sc1906,sc1907",426.8,sc1903
2019-02-27,-2.8,"sc1906,sc1907",427.3,sc1903
2019-02-28,-2.9,"sc1906,sc1907",430.1,sc1903
2019-03-01,-2.3,"sc1907,sc1908",443.0,sc1904
2019-03-04,-1.7,"sc1907,sc1908",438.4,sc1904
2019-03-05,-1.9,"sc1907,sc1908",438.4,sc1904
2019-03-06,-2.1,"sc1907,sc1908",433.8,sc1904
2019-03-07,-2.0,"sc1907,sc1908",439.7,sc1904
2019-03-08,-1.7,"sc1907,sc1908",439.9,sc1904
2019-03-11,-2.1,"sc1907,sc1908",432.9,sc1904
2019-03-12,-1.7,"sc1907,sc1908",444.9,sc1904
2019-03-13,-1.6,"sc1907,sc1908",444.2,sc1904
2019-03-14,-1.6,"sc1907,sc1908",450.4,sc1904
2019-03-15,-1.0,"sc1907,sc1908",452.2,sc1904
2019-03-18,-1.7,"sc1907,sc1908",450.1,sc1904
