trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,3.3,"sc1906,sc1907",501.9,sc1809
2018-07-27,8.1,"sc1906,sc1907",506.1,sc1809
2018-07-30,0.4,"sc1906,sc1907",507.1,sc1809
2018-07-31,3.0,"sc1906,sc1907",513.9,sc1809
2018-08-01,6.3,"sc1906,sc1907",506.0,sc1809
2018-08-02,3.3,"sc1906,sc1907",501.6,sc1809
2018-08-03,2.0,"sc1906,sc1907",508.8,sc1809
2018-08-06,2.6,"sc1906,sc1907",512.3,sc1809
2018-08-07,1.4,"sc1906,sc1907",534.1,sc1809
2018-08-08,1.5,"sc1906,sc1907",527.2,sc1809
2018-08-09,1.0,"sc1906,sc1907",518.9,sc1809
2018-08-10,0.8,"sc1906,sc1907",520.0,sc1809
2018-08-13,0.6,"sc1906,sc1907",522.5,sc1809
2018-08-14,2.8,"sc1906,sc1907",519.3,sc1809
2018-08-15,3.3,"sc1906,sc1907",519.4,sc1809
2018-08-16,2.6,"sc1906,sc1907",508.0,sc1809
2018-08-17,3.4,"sc1906,sc1907",505.2,sc1809
2018-08-20,2.4,"sc1906,sc1907",493.2,sc1809
2018-08-21,4.0,"sc1906,sc1907",480.5,sc1809
2018-08-22,4.1,"sc1906,sc1907",479.8,sc1809
2018-08-23,5.2,"sc1906,sc1907",485.0,sc1809
2018-08-24,4.6,"sc1906,sc1907",482.1,sc1809
2018-08-27,3.7,"sc1906,sc1907",482.2,sc1809
2018-08-28,3.3,"sc1906,sc1907",486.6,sc1809
2018-08-29,2.8,"sc1906,sc1907",485.7,sc1809
2018-08-30,4.3,"sc1906,sc1907",488.6,sc1809
2018-08-31,4.1,"sc1906,sc1907",488.3,sc1809
2018-09-03,-0.3,"sc1907,sc1908",503.0,sc1810
2018-09-04,-0.5,"sc1907,sc1908",504.6,sc1810
2018-09-05,1.3,"sc1907,sc1908",505.4,sc1810
2018-09-06,0.5,"sc1907,sc1908",501.1,sc1810
2018-09-07,1.9,"sc1907,sc1908",496.7,sc1810
2018-09-10,0.0,"sc1907,sc1908",498.5,sc1810
2018-09-11,0.4,"sc1907,sc1908",500.6,sc1810
2018-09-12,-0.2,"sc1907,sc1908",503.6,sc1810
2018-09-13,1.1,"sc1907,sc1908",515.3,sc1810
2018-09-14,0.2,"sc1907,sc1908",501.3,sc1810
2018-09-17,0.6,"sc1907,sc1908",510.3,sc1810
2018-09-18,1.0,"sc1907,sc1908",507.7,sc1810
2018-09-19,0.2,"sc1907,sc1908",528.5,sc1810
2018-09-20,-0.2,"sc1907,sc1908",532.4,sc1810
2018-09-21,-3.3,"sc1908,sc1909",521.7,sc1811
2018-09-25,-1.4,"sc1908,sc1909",540.6,sc1811
2018-09-26,1.1,"sc1908,sc1909",542.6,sc1811
2018-09-27,1.7,"sc1908,sc1909",545.3,sc1811
2018-09-28,-0.3,"sc1908,sc1909",548.3,sc1811
2018-10-08,2.4,"sc1908,sc1909",561.2,sc1811
2018-10-10,4.9,"sc1908,sc1909",583.0,sc1811
2018-10-11,2.6,"sc1908,sc1909",579.7,sc1811
2018-10-12,3.5,"sc1908,sc1909",562.6,sc1811
2018-10-15,6.6,"sc1908,sc1909",563.6,sc1811
2018-10-16,6.9,"sc1908,sc1909",555.3,sc1811
2018-10-17,2.7,"sc1908,sc1909",543.4,sc1811
2018-10-18,3.4,"sc1908,sc1909",559.3,sc1811
2018-10-19,3.7,"sc1908,sc1909",551.4,sc1811
2018-10-22,2.8,"sc1908,sc1909",549.7,sc1811
2018-10-23,4.6,"sc1908,sc1909",552.7,sc1811
2018-10-24,2.1,"sc1908,sc1909",572.0,sc1811
2018-10-25,-0.1,"sc1908,sc1909",554.4,sc1811
2018-10-26,-0.5,"sc1908,sc1909",577.5,sc1811
2018-10-29,-0.6,"sc1908,sc1909",576.7,sc1811
2018-10-30,-4.0,"sc1908,sc1909",576.7,sc1811
2018-10-31,-3.1,"sc1908,sc1909",573.3,sc1811
2018-11-01,-2.2,"sc1909,sc1910",527.8,sc1812
2018-11-02,-3.1,"sc1909,sc1910",513.7,sc1812
2018-11-05,1.3,"sc1909,sc1910",507.8,sc1812
2018-11-06,4.4,"sc1909,sc1910",512.2,sc1812
2018-11-07,0.7,"sc1909,sc1910",504.4,sc1812
2018-11-08,0.7,"sc1909,sc1910",502.7,sc1812
2018-11-09,1.6,"sc1909,sc1910",497.8,sc1812
2018-11-12,0.2,"sc1909,sc1910",492.9,sc1812
2018-11-13,2.2,"sc1909,sc1910",491.9,sc1812
2018-11-14,-2.2,"sc1909,sc1910",473.8,sc1812
2018-11-15,-1.1,"sc1909,sc1910",461.7,sc1812
2018-11-16,1.6,"sc1909,sc1910",465.0,sc1812
2018-11-19,4.1,"sc1909,sc1910",466.7,sc1812
2018-11-20,6.8,"sc1909,sc1910",459.7,sc1812
2018-11-21,5.8,"sc1909,sc1910",441.8,sc1812
2018-11-22,3.9,"sc1909,sc1910",438.6,sc1812
2018-11-23,4.8,"sc1909,sc1910",432.0,sc1812
2018-11-26,-5.4,"sc1909,sc1910",411.4,sc1812
2018-11-27,-1.5,"sc1909,sc1910",409.1,sc1812
2018-11-28,0.6,"sc1909,sc1910",413.0,sc1812
2018-11-29,2.9,"sc1909,sc1910",407.2,sc1812
2018-11-30,4.0,"sc1909,sc1910",396.7,sc1812
2018-12-03,-0.1,"sc1910,sc1911",419.4,sc1901
2018-12-04,0.1,"sc1910,sc1911",428.6,sc1901
2018-12-05,-1.2,"sc1910,sc1911",428.3,sc1901
2018-12-06,-0.7,"sc1910,sc1911",428.0,sc1901
2018-12-07,-0.5,"sc1910,sc1911",413.3,sc1901
2018-12-10,-0.7,"sc1910,sc1911",431.1,sc1901
2018-12-11,-1.3,"sc1910,sc1911",421.8,sc1901
2018-12-12,-1.6,"sc1910,sc1911",423.7,sc1901
2018-12-13,-0.5,"sc1910,sc1911",424.6,sc1901
2018-12-14,-1.4,"sc1910,sc1911",422.5,sc1901
2018-12-17,-1.3,"sc1910,sc1911",419.0,sc1901
2018-12-18,-1.7,"sc1910,sc1911",411.6,sc1901
2018-12-19,1.3,"sc1910,sc1911",395.1,sc1901
2018-12-20,-0.7,"sc1910,sc1911",398.1,sc1901
2018-12-21,-0.9,"sc1910,sc1911",400.9,sc1901
2018-12-24,0.0,"sc1910,sc1911",394.5,sc1901
2018-12-25,-0.9,"sc1910,sc1911",385.0,sc1901
2018-12-26,-0.4,"sc1910,sc1911",374.7,sc1901
2018-12-27,-2.1,"sc1910,sc1911",381.0,sc1901
2018-12-28,-1.8,"sc1910,sc1911",377.0,sc1901
2019-01-02,-3.5,"sc1911,sc1912",370.7,sc1902
2019-01-03,-4.8,"sc1911,sc1912",379.8,sc1902
2019-01-04,-3.7,"sc1911,sc1912",388.7,sc1902
2019-01-07,-1.9,"sc1911,sc1912",401.4,sc1902
2019-01-08,-3.0,"sc1911,sc1912",405.1,sc1902
2019-01-09,-0.7,"sc1911,sc1912",412.2,sc1902
2019-01-10,0.1,"sc1911,sc1912",423.6,sc1902
2019-01-11,1.5,"sc1911,sc1912",424.5,sc1902
2019-01-14,1.7,"sc1911,sc1912",416.3,sc1902
2019-01-15,1.4,"sc1911,sc1912",412.4,sc1902
2019-01-16,1.9,"sc1911,sc1912",410.5,sc1902
2019-01-17,1.3,"sc1911,sc1912",411.8,sc1902
2019-01-18,2.5,"sc1911,sc1912",410.5,sc1902
2019-01-21,4.6,"sc1911,sc1912",414.6,sc1902
2019-01-22,4.4,"sc1911,sc1912",417.2,sc1902
2019-01-23,5.1,"sc1911,sc1912",427.6,sc1902
2019-01-24,5.3,"sc1911,sc1912",423.6,sc1902
2019-01-25,1.0,"sc1911,sc1912",422.6,sc1902
2019-01-28,-4.4,"sc1912,sc2001",427.8,sc1903
2019-01-29,-4.8,"sc1912,sc2001",417.9,sc1903
2019-01-30,-5.7,"sc1912,sc2001",425.2,sc1903
2019-01-31,-4.1,"sc1912,sc2001",431.4,sc1903
2019-02-01,-4.9,"sc1912,sc2001",429.8,sc1903
2019-02-11,-3.8,"sc1912,sc2001",428.2,sc1903
2019-02-12,-8.6,"sc1912,sc2001",428.7,sc1903
2019-02-13,-5.2,"sc1912,sc2001",433.3,sc1903
2019-02-14,-2.5,"sc1912,sc2001",435.9,sc1903
2019-02-15,0.0,"sc1912,sc2001",441.7,sc1903
2019-02-18,-4.4,"sc1912,sc2001",450.6,sc1903
2019-02-20,-3.7,"sc1912,sc2001",451.2,sc1903
2019-02-21,-4.5,"sc1912,sc2001",449.6,sc1903
2019-02-22,-3.9,"sc1912,sc2001",446.4,sc1903
2019-02-25,-4.2,"sc1912,sc2001",446.3,sc1903
2019-02-26,-2.2,"sc1912,sc2001",426.8,sc1903
2019-02-27,-0.5,"sc1912,sc2001",427.3,sc1903
2019-02-28,-1.0,"sc1912,sc2001",430.1,sc1903
2019-03-01,0.6,"sc2001,sc2002",443.0,sc1904
2019-03-04,-0.4,"sc2001,sc2002",438.4,sc1904
2019-03-05,0.8,"sc2001,sc2002",438.4,sc1904
2019-03-06,-0.9,"sc2001,sc2002",433.8,sc1904
2019-03-07,-1.7,"sc2001,sc2002",439.7,sc1904
2019-03-08,-2.0,"sc2001,sc2002",439.9,sc1904
2019-03-11,0.0,"sc2001,sc2002",432.9,sc1904
2019-03-12,-1.1,"sc2001,sc2002",444.9,sc1904
2019-03-13,-1.3,"sc2001,sc2002",444.2,sc1904
2019-03-14,-2.2,"sc2001,sc2002",450.4,sc1904
2019-03-15,-1.0,"sc2001,sc2002",452.2,sc1904
2019-03-18,-3.4,"sc2001,sc2002",450.1,sc1904
2019-03-19,-2.6,"sc2001,sc2002",461.8,sc1904
2019-03-20,-2.0,"sc2001,sc2002",462.5,sc1904
2019-03-21,-3.4,"sc2001,sc2002",466.3,sc1904
2019-03-22,-2.8,"sc2001,sc2002",467.7,sc1904
2019-03-25,-2.9,"sc2001,sc2002",459.0,sc1904
2019-03-26,-0.6,"sc2001,sc2002",459.1,sc1904
2019-03-27,-1.2,"sc2001,sc2002",463.3,sc1904
2019-03-28,-0.6,"sc2001,sc2002",462.2,sc1904
2019-03-29,-1.4,"sc2001,sc2002",453.5,sc1904
2019-04-01,2.8,"sc2002,sc2003",459.4,sc1905
2019-04-02,2.4,"sc2002,sc2003",467.5,sc1905
2019-04-03,2.7,"sc2002,sc2003",471.7,sc1905
2019-04-04,2.2,"sc2002,sc2003",469.5,sc1905
2019-04-08,6.4,"sc2002,sc2003",478.2,sc1905
2019-04-09,2.1,"sc2002,sc2003",479.3,sc1905
2019-04-10,3.3,"sc2002,sc2003",475.7,sc1905
2019-04-11,2.5,"sc2002,sc2003",480.3,sc1905
2019-04-12,1.2,"sc2002,sc2003",475.8,sc1905
2019-04-15,0.0,"sc2002,sc2003",473.7,sc1905
2019-04-16,1.1,"sc2002,sc2003",468.2,sc1905
2019-04-17,0.9,"sc2002,sc2003",470.7,sc1905
2019-04-18,3.1,"sc2002,sc2003",472.0,sc1905
2019-04-19,1.7,"sc2002,sc2003",472.5,sc1905
2019-04-22,3.2,"sc2002,sc2003",480.3,sc1905
2019-04-23,5.2,"sc2002,sc2003",489.0,sc1905
2019-04-24,4.6,"sc2002,sc2003",493.2,sc1905
2019-04-25,4.2,"sc2002,sc2003",494.7,sc1905
