trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,,,501.9,sc1809
2018-07-27,,,506.1,sc1809
2018-07-30,,,507.1,sc1809
2018-07-31,,,513.9,sc1809
2018-08-01,0.7,"sc1907,sc1908",506.0,sc1809
2018-08-02,0.7,"sc1907,sc1908",501.6,sc1809
2018-08-03,0.6,"sc1907,sc1908",508.8,sc1809
2018-08-06,0.8,"sc1907,sc1908",512.3,sc1809
2018-08-07,0.3,"sc1907,sc1908",534.1,sc1809
2018-08-08,1.0,"sc1907,sc1908",527.2,sc1809
2018-08-09,1.1,"sc1907,sc1908",518.9,sc1809
2018-08-10,0.7,"sc1907,sc1908",520.0,sc1809
2018-08-13,0.6,"sc1907,sc1908",522.5,sc1809
2018-08-14,0.8,"sc1907,sc1908",519.3,sc1809
2018-08-15,0.0,"sc1907,sc1908",519.4,sc1809
2018-08-16,0.1,"sc1907,sc1908",508.0,sc1809
2018-08-17,2.1,"sc1907,sc1908",505.2,sc1809
2018-08-20,1.8,"sc1907,sc1908",493.2,sc1809
2018-08-21,0.6,"sc1907,sc1908",480.5,sc1809
2018-08-22,1.4,"sc1907,sc1908",479.8,sc1809
2018-08-23,-0.5,"sc1907,sc1908",485.0,sc1809
2018-08-24,0.7,"sc1907,sc1908",482.1,sc1809
2018-08-27,1.2,"sc1907,sc1908",482.2,sc1809
2018-08-28,0.2,"sc1907,sc1908",486.6,sc1809
2018-08-29,2.0,"sc1907,sc1908",485.7,sc1809
2018-08-30,-0.6,"sc1907,sc1908",488.6,sc1809
2018-08-31,-0.2,"sc1907,sc1908",488.3,sc1809
2018-09-03,-1.3,"sc1908,sc1909",503.0,sc1810
2018-09-04,-1.2,"sc1908,sc1909",504.6,sc1810
2018-09-05,-4.2,"sc1908,sc1909",505.4,sc1810
2018-09-06,-3.9,"sc1908,sc1909",501.1,sc1810
2018-09-07,-3.7,"sc1908,sc1909",496.7,sc1810
2018-09-10,-3.8,"sc1908,sc1909",498.5,sc1810
