trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,0.6,"sc1810,sc1811",501.9,sc1809
2018-07-27,0.4,"sc1810,sc1811",506.1,sc1809
2018-07-30,0.8,"sc1810,sc1811",507.1,sc1809
2018-07-31,0.5,"sc1810,sc1811",513.9,sc1809
2018-08-01,0.1,"sc1810,sc1811",506.0,sc1809
2018-08-02,0.2,"sc1810,sc1811",501.6,sc1809
2018-08-03,-0.5,"sc1810,sc1811",508.8,sc1809
2018-08-06,-0.5,"sc1810,sc1811",512.3,sc1809
2018-08-07,-0.8,"sc1810,sc1811",534.1,sc1809
2018-08-08,0.2,"sc1810,sc1811",527.2,sc1809
2018-08-09,0.0,"sc1810,sc1811",518.9,sc1809
2018-08-10,0.7,"sc1810,sc1811",520.0,sc1809
2018-08-13,0.3,"sc1810,sc1811",522.5,sc1809
2018-08-14,-0.5,"sc1810,sc1811",519.3,sc1809
2018-08-15,-1.2,"sc1810,sc1811",519.4,sc1809
2018-08-16,-0.5,"sc1810,sc1811",508.0,sc1809
2018-08-17,0.0,"sc1810,sc1811",505.2,sc1809
2018-08-20,0.5,"sc1810,sc1811",493.2,sc1809
2018-08-21,-5.6,"sc1810,sc1811",480.5,sc1809
2018-08-22,-9.0,"sc1810,sc1811",479.8,sc1809
2018-08-23,-7.5,"sc1810,sc1811",485.0,sc1809
2018-08-24,-7.8,"sc1810,sc1811",482.1,sc1809
2018-08-27,-10.0,"sc1810,sc1811",482.2,sc1809
2018-08-28,-9.6,"sc1810,sc1811",486.6,sc1809
2018-08-29,-9.3,"sc1810,sc1811",485.7,sc1809
2018-08-30,-8.3,"sc1810,sc1811",488.6,sc1809
2018-08-31,-7.5,"sc1810,sc1811",488.3,sc1809
2018-09-03,-11.5,"sc1811,sc1812",503.0,sc1810
2018-09-04,-10.0,"sc1811,sc1812",504.6,sc1810
2018-09-05,-9.7,"sc1811,sc1812",505.4,sc1810
2018-09-06,-9.7,"sc1811,sc1812",501.1,sc1810
2018-09-07,-10.6,"sc1811,sc1812",496.7,sc1810
2018-09-10,-10.6,"sc1811,sc1812",498.5,sc1810
2018-09-11,-10.7,"sc1811,sc1812",500.6,sc1810
2018-09-12,-12.2,"sc1811,sc1812",503.6,sc1810
2018-09-13,-11.8,"sc1811,sc1812",515.3,sc1810
2018-09-14,-11.5,"sc1811,sc1812",501.3,sc1810
2018-09-17,-11.2,"sc1811,sc1812",510.3,sc1810
2018-09-18,-10.3,"sc1811,sc1812",507.7,sc1810
2018-09-19,-10.3,"sc1811,sc1812",528.5,sc1810
2018-09-20,-8.0,"sc1811,sc1812",532.4,sc1810
2018-09-21,-0.2,"sc1812,sc1901",521.7,sc1811
2018-09-25,-0.1,"sc1812,sc1901",540.6,sc1811
2018-09-26,-0.3,"sc1812,sc1901",542.6,sc1811
2018-09-27,0.0,"sc1812,sc1901",545.3,sc1811
2018-09-28,0.2,"sc1812,sc1901",548.3,sc1811
2018-10-08,0.6,"sc1812,sc1901",561.2,sc1811
2018-10-10,0.6,"sc1812,sc1901",583.0,sc1811
2018-10-11,0.2,"sc1812,sc1901",579.7,sc1811
2018-10-12,-0.2,"sc1812,sc1901",562.6,sc1811
2018-10-15,-0.1,"sc1812,sc1901",563.6,sc1811
2018-10-16,-0.4,"sc1812,sc1901",555.3,sc1811
2018-10-17,-0.5,"sc1812,sc1901",543.4,sc1811
2018-10-18,-0.4,"sc1812,sc1901",559.3,sc1811
2018-10-19,-0.4,"sc1812,sc1901",551.4,sc1811
2018-10-22,-0.1,"sc1812,sc1901",549.7,sc1811
2018-10-23,0.1,"sc1812,sc1901",552.7,sc1811
2018-10-24,-0.6,"sc1812,sc1901",572.0,sc1811
2018-10-25,-0.8,"sc1812,sc1901",554.4,sc1811
2018-10-26,1.3,"sc1812,sc1901",577.5,sc1811
2018-10-29,0.7,"sc1812,sc1901",576.7,sc1811
2018-10-30,-3.0,"sc1812,sc1901",576.7,sc1811
2018-10-31,-5.0,"sc1812,sc1901",573.3,sc1811
2018-11-01,0.6,"sc1901,sc1902",527.8,sc1812
2018-11-02,0.8,"sc1901,sc1902",513.7,sc1812
2018-11-05,0.1,"sc1901,sc1902",507.8,sc1812
2018-11-06,-0.7,"sc1901,sc1902",512.2,sc1812
2018-11-07,-1.0,"sc1901,sc1902",504.4,sc1812
2018-11-08,-2.0,"sc1901,sc1902",502.7,sc1812
2018-11-09,-1.6,"sc1901,sc1902",497.8,sc1812
2018-11-12,-2.2,"sc1901,sc1902",492.9,sc1812
2018-11-13,-3.1,"sc1901,sc1902",491.9,sc1812
2018-11-14,-3.4,"sc1901,sc1902",473.8,sc1812
2018-11-15,-3.7,"sc1901,sc1902",461.7,sc1812
2018-11-16,-4.3,"sc1901,sc1902",465.0,sc1812
2018-11-19,-4.7,"sc1901,sc1902",466.7,sc1812
2018-11-20,-4.8,"sc1901,sc1902",459.7,sc1812
2018-11-21,-5.3,"sc1901,sc1902",441.8,sc1812
2018-11-22,-5.5,"sc1901,sc1902",438.6,sc1812
2018-11-23,-5.7,"sc1901,sc1902",432.0,sc1812
2018-11-26,-4.9,"sc1901,sc1902",411.4,sc1812
2018-11-27,-5.3,"sc1901,sc1902",409.1,sc1812
2018-11-28,-5.1,"sc1901,sc1902",413.0,sc1812
2018-11-29,-5.6,"sc1901,sc1902",407.2,sc1812
2018-11-30,-5.9,"sc1901,sc1902",396.7,sc1812
2018-12-03,-4.4,"sc1902,sc1903",419.4,sc1901
2018-12-04,-5.0,"sc1902,sc1903",428.6,sc1901
2018-12-05,-5.1,"sc1902,sc1903",428.3,sc1901
2018-12-06,-5.6,"sc1902,sc1903",428.0,sc1901
2018-12-07,-6.1,"sc1902,sc1903",413.3,sc1901
2018-12-10,-4.9,"sc1902,sc1903",431.1,sc1901
2018-12-11,-4.4,"sc1902,sc1903",421.8,sc1901
2018-12-12,-3.7,"sc1902,sc1903",423.7,sc1901
2018-12-13,-2.8,"sc1902,sc1903",424.6,sc1901
2018-12-14,-3.3,"sc1902,sc1903",422.5,sc1901
2018-12-17,-5.3,"sc1902,sc1903",419.0,sc1901
2018-12-18,-5.3,"sc1902,sc1903",411.6,sc1901
2018-12-19,-4.9,"sc1902,sc1903",395.1,sc1901
2018-12-20,-2.9,"sc1902,sc1903",398.1,sc1901
